Text,link,AnalyzedTextWithoutHttp,hashtag,AnalyzedTextWithoutHttpHashtag,user_mentioned,AnalyzedTextWithoutHttpHashtagUserName,AnalyzedTextWithoutHttpHashtagUserNameNonAlpha,AnalyzedText,positive,negative,neutral,compound,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"Never Done inspiring each other. 💪
",,Never Done inspiring each other. 💪,,Never Done inspiring each other. 💪,,Never Done inspiring each other. 💪,Never Done inspiring each,Never Done inspiring,0.0,0.538,0.462,-0.3252,10,3,0.58,"never, make, world, always, even, do, love, give, stay, well","['never', 'do', 'inspire']"
"Since being vaulted into the public eye at the age of eight, @nyjah has more than exceeded outside expectations, dominating both street and competition skating with his distinctive style, and becoming an icon beyond the sport itself. So when met with perhaps his greatest physical challenge yet — a torn ACL that’s forced him off the board for nearly a year — Nyjah has responded with unbridled resilience and a drive to further entrench the legacy he’s leaving behind.
",,"Since being vaulted into the public eye at the age of eight, @nyjah has more than exceeded outside expectations, dominating both street and competition skating with his distinctive style, and becoming an icon beyond the sport itself. So when met with perhaps his greatest physical challenge yet — a torn ACL that’s forced him off the board for nearly a year — Nyjah has responded with unbridled resilience and a drive to further entrench the legacy he’s leaving behind.",,"Since being vaulted into the public eye at the age of eight, @nyjah has more than exceeded outside expectations, dominating both street and competition skating with his distinctive style, and becoming an icon beyond the sport itself. So when met with perhaps his greatest physical challenge yet — a torn ACL that’s forced him off the board for nearly a year — Nyjah has responded with unbridled resilience and a drive to further entrench the legacy he’s leaving behind.",@nyjah,"Since being vaulted into the public eye at the age of eight, has more than exceeded outside expectations, dominating both street and competition skating with his distinctive style, and becoming an icon beyond the sport itself. So when met with perhaps his greatest physical challenge yet — a torn ACL that’s forced him off the board for nearly a year — Nyjah has responded with unbridled resilience and a drive to further entrench the legacy he’s leaving behind.",Since being vaulted into the public eye at the age of has more than exceeded outside dominating both street and competition skating with his distinctive and becoming an icon beyond the sport So when met with perhaps his greatest physical challenge yet a torn ACL forced him off the board for nearly a year Nyjah has responded with unbridled resilience and a drive to further entrench the legacy leaving,Since vaulted public eye age exceeded outside dominating street competition skating distinctive becoming icon beyond sport met perhaps greatest physical challenge yet torn ACL forced board nearly year Nyjah responded unbridled resilience drive entrench legacy leaving,0.126,0.165,0.709,-0.1779,11,3,0.5983,"never, make, world, always, even, do, love, give, stay, well","['vault', 'public', 'eye', 'age', 'exceed', 'outside', 'dominate', 'street', 'competition', 'skate', 'distinctive', 'become', 'icon', 'sport', 'meet', 'perhaps', 'great', 'physical', 'challenge', 'yet', 'tear', 'force', 'board', 'nearly', 'year', 'respond', 'unbridled', 'resilience', 'drive', 'entrench', 'legacy', 'leave']"
"If anyone can.
",,If anyone can.,,If anyone can.,,If anyone can.,If anyone,anyone,0.0,0.0,1.0,0.0,12,1,0.238,"take, run, first, step, come, stop, start, push, next, year",[]
"Running through history. #counts.
",,Running through history. #counts.,#counts.,Running through history.,,Running through history.,Running through,Running,0.0,0.0,1.0,0.0,13,1,0.3926,"take, run, first, step, come, stop, start, push, next, year",['run']
"For Jéssica Silva (@jessiicasilva10) family is everything 👪. Coming off one of the most successful seasons of her career, she also faced the most devastating year of her life. The tragic loss of her Grandmother Teresa forced Silva to reprioritize everything and spend much-needed time with her biggest supporters: her family.
",,"For Jéssica Silva (@jessiicasilva10) family is everything 👪. Coming off one of the most successful seasons of her career, she also faced the most devastating year of her life. The tragic loss of her Grandmother Teresa forced Silva to reprioritize everything and spend much-needed time with her biggest supporters: her family.",,"For Jéssica Silva (@jessiicasilva10) family is everything 👪. Coming off one of the most successful seasons of her career, she also faced the most devastating year of her life. The tragic loss of her Grandmother Teresa forced Silva to reprioritize everything and spend much-needed time with her biggest supporters: her family.",,"For Jéssica Silva (@jessiicasilva10) family is everything 👪. Coming off one of the most successful seasons of her career, she also faced the most devastating year of her life. The tragic loss of her Grandmother Teresa forced Silva to reprioritize everything and spend much-needed time with her biggest supporters: her family.",For Jéssica Silva family is everything Coming off one of the most successful seasons of her she also faced the most devastating year of her The tragic loss of her Grandmother Teresa forced Silva to reprioritize everything and spend time with her biggest her,Jéssica Silva family everything Coming one successful seasons also faced devastating year tragic loss Grandmother Teresa forced Silva reprioritize everything spend time biggest,0.11,0.366,0.523,-0.8316,14,2,0.6617,"get, time, know, play, see, day, big, share, future, street","['family', 'come', 'successful', 'season', 'also', 'face', 'devastating', 'year', 'tragic', 'loss', 'grandmother', 'force', 'silva', 'reprioritize', 'spend', 'time', 'big']"
"Thank you to all of the LGBTQIA+ athletes, coaches, and fans who have brought us to new heights on and off the field. The wins you’ve achieved, the records you’ve broken, and the contributions you’ve made are undeniable.
",,"Thank you to all of the LGBTQIA+ athletes, coaches, and fans who have brought us to new heights on and off the field. The wins you’ve achieved, the records you’ve broken, and the contributions you’ve made are undeniable.",,"Thank you to all of the LGBTQIA+ athletes, coaches, and fans who have brought us to new heights on and off the field. The wins you’ve achieved, the records you’ve broken, and the contributions you’ve made are undeniable.",,"Thank you to all of the LGBTQIA+ athletes, coaches, and fans who have brought us to new heights on and off the field. The wins you’ve achieved, the records you’ve broken, and the contributions you’ve made are undeniable.",Thank you to all of the and fans who have brought us to new heights on and off the The wins the records and the contributions made are,Thank fans brought us new heights wins records contributions made,0.437,0.0,0.563,0.7351,15,4,0.6098,"good, feel, thing, look, athlete, new, nike, go, second, football","['thank', 'fan', 'bring', 'new', 'height', 'win', 'record', 'contribution', 'make']"
"Join Forces with Lit Hip Hop
",,Join Forces with Lit Hip Hop,,Join Forces with Lit Hip Hop,,Join Forces with Lit Hip Hop,Join Forces with Lit Hip Hop,Join Forces Lit Hip Hop,0.355,0.0,0.645,0.296,16,1,0.6938,"take, run, first, step, come, stop, start, push, next, year","['join', 'force', 'light', 'hip', 'hop']"
"Running is a lot of things. For runner and artist @zanmango, it’s all about community. “Helping other runners lights my inner fire,” she says. “When I hear their footsteps next to me, their pace, I find strength.” 💪💫
",,"Running is a lot of things. For runner and artist @zanmango, it’s all about community. “Helping other runners lights my inner fire,” she says. “When I hear their footsteps next to me, their pace, I find strength.” 💪💫",,"Running is a lot of things. For runner and artist @zanmango, it’s all about community. “Helping other runners lights my inner fire,” she says. “When I hear their footsteps next to me, their pace, I find strength.” 💪💫","@zanmango,","Running is a lot of things. For runner and artist it’s all about community. “Helping other runners lights my inner fire,” she says. “When I hear their footsteps next to me, their pace, I find strength.” 💪💫",Running is a lot of For runner and artist all about other runners lights my inner she I hear their footsteps next to their I find,Running lot runner artist runners lights inner hear footsteps next find,0.0,0.0,1.0,0.0,17,1,0.7929,"take, run, first, step, come, stop, start, push, next, year","['run', 'lot', 'runner', 'artist', 'runner', 'light', 'inner', 'hear', 'footstep', 'next', 'find']"
"No matter where you are. Make it today. Make it tonight. Make it tomorrow. Make it together in 2013. We will #makeitcount.
",,No matter where you are. Make it today. Make it tonight. Make it tomorrow. Make it together in 2013. We will #makeitcount.,#makeitcount.,No matter where you are. Make it today. Make it tonight. Make it tomorrow. Make it together in 2013. We will,,No matter where you are. Make it today. Make it tonight. Make it tomorrow. Make it together in 2013. We will,No matter where you Make it Make it Make it Make it together in We will,matter Make Make Make Make together,0.18,0.0,0.82,0.0258,18,3,0.5565,"never, make, world, always, even, do, love, give, stay, well","['matter', 'make', 'make', 'make', 'make']"
"Raise awareness. Raise your game. #BCA @usnikefootball
",,Raise awareness. Raise your game. #BCA @usnikefootball,#BCA,Raise awareness. Raise your game. @usnikefootball,@usnikefootball,Raise awareness. Raise your game.,Raise Raise your,Raise Raise,0.0,0.0,1.0,0.0,19,2,0.5165,"get, time, know, play, see, day, big, share, future, street","['raise', 'raise']"
"Can you say squad goals? The Harlem Honeys & Bears, a group of self-proclaimed “old-timers,” has used the power of their tight-knit synchronized swimming team to challenge adversity, face fears, overcome grief, and teach Black youth in Harlem how to swim. And the coolest part: They manage to have a serious amount of fun doing it.
",,"Can you say squad goals? The Harlem Honeys & Bears, a group of self-proclaimed “old-timers,” has used the power of their tight-knit synchronized swimming team to challenge adversity, face fears, overcome grief, and teach Black youth in Harlem how to swim. And the coolest part: They manage to have a serious amount of fun doing it.",,"Can you say squad goals? The Harlem Honeys & Bears, a group of self-proclaimed “old-timers,” has used the power of their tight-knit synchronized swimming team to challenge adversity, face fears, overcome grief, and teach Black youth in Harlem how to swim. And the coolest part: They manage to have a serious amount of fun doing it.",,"Can you say squad goals? The Harlem Honeys & Bears, a group of self-proclaimed “old-timers,” has used the power of their tight-knit synchronized swimming team to challenge adversity, face fears, overcome grief, and teach Black youth in Harlem how to swim. And the coolest part: They manage to have a serious amount of fun doing it.",Can you say squad The Harlem Honeys a group of has used the power of their synchronized swimming team to challenge face overcome and teach Black youth in Harlem how to And the coolest They manage to have a serious amount of fun doing,say squad Harlem Honeys group used power synchronized swimming team challenge face overcome teach Black youth Harlem coolest manage serious amount fun,0.185,0.052,0.763,0.5106,20,0,0.6993,"find, way, want, mean, team, game, dream, watch, break, think","['say', 'use', 'power', 'synchronize', 'swimming', 'team', 'challenge', 'face', 'overcome', 'teach', 'black', 'youth', 'manage', 'serious', 'amount', 'fun']"
"You can never perfect your art. That doesn't mean you shouldn't try.
",,You can never perfect your art. That doesn't mean you shouldn't try.,,You can never perfect your art. That doesn't mean you shouldn't try.,,You can never perfect your art. That doesn't mean you shouldn't try.,You can never perfect your That mean you,never perfect mean,0.0,0.6,0.4,-0.4585,21,1,0.2836,"take, run, first, step, come, stop, start, push, next, year","['never', 'perfect', 'mean']"
"You never know where the next step will take you. #justdoit
",,You never know where the next step will take you. #justdoit,#justdoit,You never know where the next step will take you.,,You never know where the next step will take you.,You never know where the next step will take,never know next step take,0.0,0.0,1.0,0.0,22,1,0.4536,"take, run, first, step, come, stop, start, push, next, year","['never', 'know', 'next', 'step', 'take']"
"It’s because I’m red, isn’t it?
",,"It’s because I’m red, isn’t it?",,"It’s because I’m red, isn’t it?",,"It’s because I’m red, isn’t it?",because,,0.0,0.0,0.0,0.0,23,1,0.238,"take, run, first, step, come, stop, start, push, next, year",[]
"For the @hgnext crew, streetball is more than a game. Watch them pull up to Battery Park and West 4th St Park to flex on the court, and show us what ball means to them.  
",,"For the @hgnext crew, streetball is more than a game. Watch them pull up to Battery Park and West 4th St Park to flex on the court, and show us what ball means to them.",,"For the @hgnext crew, streetball is more than a game. Watch them pull up to Battery Park and West 4th St Park to flex on the court, and show us what ball means to them.",@hgnext,"For the crew, streetball is more than a game. Watch them pull up to Battery Park and West 4th St Park to flex on the court, and show us what ball means to them.",For the streetball is more than a Watch them pull up to Battery Park and West St Park to flex on the and show us what ball means to,streetball Watch pull Battery Park West St Park flex show us ball means,0.0,0.0,1.0,0.0,24,0,0.6688,"find, way, want, mean, team, game, dream, watch, break, think","['streetball', 'watch', 'pull', 'battery', 'park', 'show', 'ball', 'mean']"
"“Believe in yourself and trust that your mind and heart can break barriers.” @kipchogeeliud
",,“Believe in yourself and trust that your mind and heart can break barriers.” @kipchogeeliud,,“Believe in yourself and trust that your mind and heart can break barriers.” @kipchogeeliud,@kipchogeeliud,“Believe in yourself and trust that your mind and heart can break barriers.”,in yourself and trust that your mind and heart can break,trust mind heart break,0.524,0.0,0.476,0.5106,25,4,0.357,"good, feel, thing, look, athlete, new, nike, go, second, football","['trust', 'mind', 'heart', 'break']"
"“Life. You just think it's supposed to be fair. You think you work hard for something, you’re supposed to get it. But I was in a car accident and my dream to play professional basketball was taken from me.” @24lifedc
",,"“Life. You just think it's supposed to be fair. You think you work hard for something, you’re supposed to get it. But I was in a car accident and my dream to play professional basketball was taken from me.” @24lifedc",,"“Life. You just think it's supposed to be fair. You think you work hard for something, you’re supposed to get it. But I was in a car accident and my dream to play professional basketball was taken from me.” @24lifedc",@24lifedc,"“Life. You just think it's supposed to be fair. You think you work hard for something, you’re supposed to get it. But I was in a car accident and my dream to play professional basketball was taken from me.”",You just think supposed to be You think you work hard for supposed to get But I was in a car accident and my dream to play professional basketball was taken from,think supposed think work hard supposed get car accident dream play professional basketball taken,0.233,0.238,0.529,-0.0258,26,0,0.5399,"find, way, want, mean, team, game, dream, watch, break, think","['think', 'suppose', 'think', 'work', 'hard', 'suppose', 'get', 'car', 'accident', 'dream', 'play', 'professional', 'basketball', 'take']"
"A force in the world 🌎 of fencing and an advocate for inclusivity in sport 💪, @bebe_vio embraces function and comfort in her everyday style. 
",,"A force in the world 🌎 of fencing and an advocate for inclusivity in sport 💪, @bebe_vio embraces function and comfort in her everyday style.",,"A force in the world 🌎 of fencing and an advocate for inclusivity in sport 💪, @bebe_vio embraces function and comfort in her everyday style.",@bebe_vio,"A force in the world 🌎 of fencing and an advocate for inclusivity in sport 💪, embraces function and comfort in her everyday style.",A force in the world of fencing and an advocate for inclusivity in sport embraces function and comfort in her everyday,force world fencing advocate inclusivity sport embraces function comfort everyday,0.217,0.0,0.783,0.3612,27,0,0.5165,"find, way, want, mean, team, game, dream, watch, break, think","['force', 'world', 'fence', 'advocate', 'inclusivity', 'sport', 'embrace', 'function', 'comfort', 'everyday']"
"“We are no longer in control of what has passed, but we can control where we are now and where we are headed to.” — @kipchogeeliud 
",,"“We are no longer in control of what has passed, but we can control where we are now and where we are headed to.” — @kipchogeeliud",,"“We are no longer in control of what has passed, but we can control where we are now and where we are headed to.” — @kipchogeeliud",@kipchogeeliud,"“We are no longer in control of what has passed, but we can control where we are now and where we are headed to.” —",are no longer in control of what has but we can control where we are now and where we are headed,longer control control headed,0.0,0.0,1.0,0.0,28,0,0.4878,"find, way, want, mean, team, game, dream, watch, break, think","['long', 'control', 'control', 'head']"
"The Nike Flyknit distance track spike. The same unique upper as the Nike Flyknit Racer with a narrower fit designed for track performance. Exclusive to the feet of US 10,000 meter runner Dathan Ritzenheim.
",,"The Nike Flyknit distance track spike. The same unique upper as the Nike Flyknit Racer with a narrower fit designed for track performance. Exclusive to the feet of US 10,000 meter runner Dathan Ritzenheim.",,"The Nike Flyknit distance track spike. The same unique upper as the Nike Flyknit Racer with a narrower fit designed for track performance. Exclusive to the feet of US 10,000 meter runner Dathan Ritzenheim.",,"The Nike Flyknit distance track spike. The same unique upper as the Nike Flyknit Racer with a narrower fit designed for track performance. Exclusive to the feet of US 10,000 meter runner Dathan Ritzenheim.",The Nike Flyknit distance track The same unique upper as the Nike Flyknit Racer with a narrower fit designed for track Exclusive to the feet of US meter runner Dathan,Nike Flyknit distance track unique upper Nike Flyknit Racer narrower fit designed track Exclusive feet US meter runner Dathan,0.19,0.0,0.81,0.4588,29,4,0.7933,"good, feel, thing, look, athlete, new, nike, go, second, football","['distance', 'track', 'unique', 'upper', 'nike', 'flyknit', 'racer', 'narrower', 'fit', 'design', 'track', 'exclusive', 'foot', 'meter', 'dathan']"
"“It‘s very important for me to set a goal as clear as possible, who I want to become, what I want to achieve and more. Goals bring me in the right direction.” – @aaayu_03
",,"“It‘s very important for me to set a goal as clear as possible, who I want to become, what I want to achieve and more. Goals bring me in the right direction.” – @aaayu_03",,"“It‘s very important for me to set a goal as clear as possible, who I want to become, what I want to achieve and more. Goals bring me in the right direction.” – @aaayu_03",@aaayu_03,"“It‘s very important for me to set a goal as clear as possible, who I want to become, what I want to achieve and more. Goals bring me in the right direction.” –",very important for me to set a goal as clear as who I want to what I want to achieve and Goals bring me in the right,important set goal clear want want achieve Goals bring right,0.538,0.0,0.462,0.6124,30,0,0.6445,"find, way, want, mean, team, game, dream, watch, break, think","['important', 'set', 'goal', 'clear', 'want', 'want', 'achieve', 'goal', 'bring', 'right']"
"“The traditional player? Maybe a little boring.” @elisvitolina
",,“The traditional player? Maybe a little boring.” @elisvitolina,,“The traditional player? Maybe a little boring.” @elisvitolina,@elisvitolina,“The traditional player? Maybe a little boring.”,traditional Maybe a little,traditional Maybe little,0.0,0.0,1.0,0.0,31,2,0.5873,"get, time, know, play, see, day, big, share, future, street","['traditional', 'maybe', 'little']"
"Why walk on water when you can fly?
",,Why walk on water when you can fly?,,Why walk on water when you can fly?,,Why walk on water when you can fly?,Why walk on water when you can,walk water,0.0,0.0,1.0,0.0,32,0,0.4827,"find, way, want, mean, team, game, dream, watch, break, think","['walk', 'water']"
"Don’t stop fighting for what you believe in.
",,Don’t stop fighting for what you believe in.,,Don’t stop fighting for what you believe in.,,Don’t stop fighting for what you believe in.,stop fighting for what you believe,stop fighting believe,0.0,0.825,0.175,-0.5719,33,1,0.6037,"take, run, first, step, come, stop, start, push, next, year","['stop', 'fight', 'believe']"
"“The process can either make or break you and I think it’s really figuring out not why it happened, but what you’re going to do to become better after it. It’s really just being as positive as can be and really manifesting what I want to become.” - @sabrina_i 
",,"“The process can either make or break you and I think it’s really figuring out not why it happened, but what you’re going to do to become better after it. It’s really just being as positive as can be and really manifesting what I want to become.” - @sabrina_i",,"“The process can either make or break you and I think it’s really figuring out not why it happened, but what you’re going to do to become better after it. It’s really just being as positive as can be and really manifesting what I want to become.” - @sabrina_i",@sabrina_i,"“The process can either make or break you and I think it’s really figuring out not why it happened, but what you’re going to do to become better after it. It’s really just being as positive as can be and really manifesting what I want to become.” -",process can either make or break you and I think really figuring out not why it but what going to do to become better after really just being as positive as can be and really manifesting what I want to,process either make break think really figuring going become better really positive really manifesting want,0.411,0.0,0.589,0.8111,34,0,0.6476,"find, way, want, mean, team, game, dream, watch, break, think","['process', 'make', 'break', 'think', 'really', 'figure', 'become', 'well', 'really', 'positive', 'really', 'manifest', 'want']"
"Breaking records. All in a day's work.
",,Breaking records. All in a day's work.,,Breaking records. All in a day's work.,,Breaking records. All in a day's work.,Breaking All in a,Breaking,0.0,0.0,1.0,0.0,35,0,0.3616,"find, way, want, mean, team, game, dream, watch, break, think",['break']
"Everyone loves an underdog. #justdoit
",,Everyone loves an underdog. #justdoit,#justdoit,Everyone loves an underdog.,,Everyone loves an underdog.,Everyone loves an,Everyone loves,0.787,0.0,0.213,0.5719,36,3,0.3823,"never, make, world, always, even, do, love, give, stay, well",['love']
"Careers end, legends are forever. #MambaDay
",,"Careers end, legends are forever. #MambaDay",#MambaDay,"Careers end, legends are forever.",,"Careers end, legends are forever.",Careers legends are,Careers legends,0.0,0.0,1.0,0.0,37,2,0.5165,"get, time, know, play, see, day, big, share, future, street","['career', 'legend']"
"Tiger, you challenged your competition, stereotypes, conventions, the old school way of thinking. You challenged the entire institution of golf. You challenged us. And most of all, yourself. And for that challenge we’re grateful.
",,"Tiger, you challenged your competition, stereotypes, conventions, the old school way of thinking. You challenged the entire institution of golf. You challenged us. And most of all, yourself. And for that challenge we’re grateful.",,"Tiger, you challenged your competition, stereotypes, conventions, the old school way of thinking. You challenged the entire institution of golf. You challenged us. And most of all, yourself. And for that challenge we’re grateful.",,"Tiger, you challenged your competition, stereotypes, conventions, the old school way of thinking. You challenged the entire institution of golf. You challenged us. And most of all, yourself. And for that challenge we’re grateful.",you challenged your the old school way of You challenged the entire institution of You challenged And most of And for that challenge,challenged old school way challenged entire institution challenged challenge,0.124,0.4,0.476,-0.2263,38,3,0.5352,"never, make, world, always, even, do, love, give, stay, well","['challenge', 'old', 'school', 'way', 'challenge', 'entire', 'institution', 'challenge', 'challenge']"
"Home ice. #justdoit
",,Home ice. #justdoit,#justdoit,Home ice.,,Home ice.,Home,Home,0.0,0.0,1.0,0.0,39,2,0.4027,"get, time, know, play, see, day, big, share, future, street",['home']
